distrito,mean_meters,advertised_rent_time,advertised_sell_time,size_rent,size_sell,€/meter_rent,€/meter_sell,apartments,RB,PER,change_2014_2024_sell,change_2014_2024_rent,change_2021_2024_sell,change_2021_2024_rent,sell,rent,revaluation,PER_adjusted,norm_revaluation,norm_RB,inverse_PER,norm_PER
alcala-de-henares,30.0,0.0,1.2166666666666668,0.0,2.0,0.0,3164.285714285714,81437,0.0,0.0,0.055234300394453,0.0620040341555354,0.20514533085961698,0.268641470888662,94928.57142857142,0.0,94928.57142857142,0.0,8.421964963714319e-06,0.0,0.0,0.0
alcala-de-henares,50.0,1.2446428571428572,2.0620192307692307,7.0,26.0,15.995131996736111,3397.737272954541,81437,5.649100225866738,17.701934113703402,0.055234300394453,0.0620040341555354,0.20514533085961698,0.268641470888662,169886.86364772703,799.7565998368055,4620769.62221455,7.214752193795251,0.00040994991579504104,0.4194809846419093,0.05649100225866738,0.4194809846419092
alcala-de-henares,80.0,1.2883569739952718,2.1951432022084196,47.0,161.0,14.091501889861767,2465.7179149433646,81437,6.857963015701464,14.581589281109816,0.055234300394453,0.0620040341555354,0.20514533085961698,0.268641470888662,197257.43319546917,1127.3201511889415,2997208.475702027,6.417615345320737,0.00026590924514547856,0.5092465991825917,0.06857963015701463,0.5092465991825916
alcala-de-henares,100.0,1.3119708994708996,2.2458071278825993,21.0,106.0,11.59803848031027,2630.3243922923284,81437,5.291228039079655,18.899204355099723,0.055234300394453,0.0620040341555354,0.20514533085961698,0.268641470888662,263032.43922923284,1159.803848031027,8945197.19718453,7.491671986835712,0.0007936086707560955,0.3929067389590287,0.05291228039079656,0.3929067389590287
alcala-de-henares,120.0,1.446412037037037,2.3248702686202685,12.0,182.0,9.710495613911474,2309.5391955842447,81437,5.045419778531192,19.81995639401717,0.055234300394453,0.0620040341555354,0.20514533085961698,0.268641470888662,277144.7034701094,1165.259473669377,11191915.00487872,7.695308055250155,0.0009929351577662906,0.3746539399210786,0.050454197785311926,0.3746539399210786
alcobendas,30.0,1.1490277777777778,4.317592592592592,10.0,3.0,34.579547892720306,4133.141762452107,33691,10.039688899188876,9.960467998971481,0.0349594545585738,0.056062892959887395,0.136476191604564,0.244330798734944,123994.25287356322,1037.3864367816093,443413.14583166165,5.709740066147967,3.933915703613577e-05,0.7455096239302489,0.10039688899188874,0.7455096239302487
alcobendas,50.0,1.2916666666666667,1.3352564102564104,4.0,13.0,27.37962121212121,4276.594039337683,33691,7.68264304545348,13.016353800165051,0.0349594545585738,0.056062892959887395,0.136476191604564,0.244330798734944,213829.70196688417,1368.9810606060605,1130475.3556740382,6.982051999885411,0.00010029460777246747,0.5704842435973388,0.0768264304545348,0.5704842435973388
alcobendas,80.0,1.613888888888889,1.6083333333333334,12.0,49.0,17.728235784123438,3124.692144511027,33691,6.808313253617247,14.687925815820847,0.0349594545585738,0.056062892959887395,0.136476191604564,0.244330798734944,249975.37156088217,1418.258862729875,1636678.6001006924,7.599294630401092,0.0001452044376047603,0.5055597941599161,0.06808313253617247,0.505559794159916
alcobendas,100.0,1.302991452991453,1.442022792022792,13.0,39.0,14.838820512396742,3021.6212837930793,33691,5.893056390085808,16.9691232156263,0.0349594545585738,0.056062892959887395,0.136476191604564,0.244330798734944,302162.1283793079,1483.8820512396742,2648807.0275844014,8.369974309318337,0.00023499942795138102,0.43759625395639157,0.058930563900858074,0.4375962539563915
alcobendas,120.0,1.5138888888888888,1.737465277777778,17.0,40.0,14.216176478655894,3615.299959637362,33691,4.718671193219121,21.192406909746783,0.0349594545585738,0.056062892959887395,0.136476191604564,0.244330798734944,433835.99515648343,1705.9411774387074,6528042.268391712,9.622715931416595,0.0005791611781223296,0.350390816093066,0.04718671193219121,0.350390816093066
alcorcon,30.0,0.0,1.5666666666666667,0.0,2.0,0.0,3846.153846153846,71289,0.0,0.0,0.0367798549406563,0.0605244921223795,0.16516990071794102,0.26819354334401596,115384.61538461539,0.0,115384.61538461539,0.0,1.0236804088557082e-05,0.0,0.0,0.0
alcorcon,50.0,1.2407407407407407,1.6564102564102565,3.0,13.0,19.58390092879257,3063.3715682715274,71289,7.671508529346009,13.035245886446917,0.0367798549406563,0.0605244921223795,0.16516990071794102,0.26819354334401596,153168.57841357638,979.1950464396285,1123491.9710841868,6.512181355477111,9.967504909314904e-05,0.5696574362132379,0.07671508529346009,0.5696574362132378
alcorcon,80.0,1.2948148148148149,1.9716315453384419,15.0,87.0,15.1568701407244,2694.179161905946,71289,6.750940852798502,14.812750130753477,0.0367798549406563,0.0605244921223795,0.16516990071794102,0.26819354334401596,215534.33295247567,1212.5496112579522,2074550.1490344044,7.09458466146844,0.00018405194987878483,0.5012995349638554,0.06750940852798502,0.5012995349638554
alcorcon,100.0,1.3256944444444445,1.9136904761904763,16.0,56.0,13.335860075194937,2743.9013304753385,71289,5.832218495794689,17.146134026375183,0.0367798549406563,0.0605244921223795,0.16516990071794102,0.26819354334401596,274390.13304753386,1333.5860075194937,3773006.833164689,7.787993531306201,0.0003347372753910822,0.43307866021926444,0.05832218495794689,0.4330786602192644
alcorcon,120.0,1.475,1.851843869731801,4.0,58.0,9.740588803088803,2653.745551775491,71289,4.404607124404306,22.70350048837201,0.0367798549406563,0.0605244921223795,0.16516990071794102,0.26819354334401596,318449.4662130589,1168.8706563706564,10240214.598272236,9.192728284890796,0.0009085012791165579,0.32706959686175563,0.04404607124404306,0.32706959686175563
